#Delay (Seco0ds) - *0.001lot 0	g(2) - *0.001lot 0
-40.4372	0
-40.3562	0
-40.2752	0
-40.1943	0
-40.1133	0
-40.0324	0
-39.9514	0
-39.8705	0
-39.7895	0
-39.7086	0
-39.6276	0
-39.5467	0
-39.4657	0
-39.3847	0
-39.3038	0
-39.2228	0
-39.1419	0
-39.0609	0
-38.98	0
-38.899	0
-38.8181	0
-38.7371	0
-38.6561	0
-38.5752	0
-38.4942	0
-38.4133	0
-38.3323	0
-38.2514	0
-38.1704	0
-38.0895	0
-38.0085	0
-37.9275	0
-37.8466	0
-37.7656	0
-37.6847	0
-37.6037	0
-37.5228	0
-37.4418	0
-37.3609	0
-37.2799	0
-37.1989	0
-37.118	0
-37.037	0
-36.9561	0
-36.8751	0
-36.7942	0
-36.7132	0
-36.6323	0
-36.5513	0
-36.4704	0
-36.3894	0
-36.3084	0
-36.2275	0
-36.1465	0
-36.0656	0
-35.9846	0
-35.9037	0
-35.8227	0
-35.7418	0
-35.6608	0
-35.5798	0
-35.4989	0
-35.4179	0
-35.337	0
-35.256	0
-35.1751	0
-35.0941	0
-35.0132	0
-34.9322	0
-34.8512	0
-34.7703	0
-34.6893	0
-34.6084	0
-34.5274	0
-34.4465	0
-34.3655	0
-34.2846	0
-34.2036	0
-34.1226	0
-34.0417	0
-33.9607	0
-33.8798	0
-33.7988	0
-33.7179	0
-33.6369	0
-33.556	0
-33.475	0
-33.394	0
-33.3131	0
-33.2321	0
-33.1512	0
-33.0702	0
-32.9893	0
-32.9083	0
-32.8274	0
-32.7464	0
-32.6655	0
-32.5845	0
-32.5035	0
-32.4226	0
-32.3416	0
-32.2607	0
-32.1797	0
-32.0988	0
-32.0178	0
-31.9369	0
-31.8559	0
-31.7749	0
-31.694	0
-31.613	0
-31.5321	0
-31.4511	0
-31.3702	0
-31.2892	0
-31.2083	0
-31.1273	0
-31.0463	0
-30.9654	0
-30.8844	0
-30.8035	0
-30.7225	0
-30.6416	0
-30.5606	0
-30.4797	0
-30.3987	0
-30.3177	0
-30.2368	0
-30.1558	0
-30.0749	0
-29.9939	0
-29.913	0
-29.832	0
-29.7511	0
-29.6701	0
-29.5892	0
-29.5082	0
-29.4272	0
-29.3463	0
-29.2653	0
-29.1844	0
-29.1034	0
-29.0225	0
-28.9415	0
-28.8606	0
-28.7796	0
-28.6986	0
-28.6177	0
-28.5367	0
-28.4558	0
-28.3748	0
-28.2939	0
-28.2129	0
-28.132	0
-28.051	0
-27.97	0
-27.8891	0
-27.8081	0
-27.7272	0
-27.6462	0
-27.5653	0
-27.4843	0
-27.4034	0
-27.3224	0
-27.2414	0
-27.1605	0
-27.0795	0
-26.9986	0
-26.9176	0
-26.8367	0
-26.7557	0
-26.6748	0
-26.5938	0
-26.5129	0
-26.4319	0
-26.3509	0
-26.27	0
-26.189	0
-26.1081	0
-26.0271	0
-25.9462	0
-25.8652	0
-25.7843	0
-25.7033	0
-25.6223	0
-25.5414	0
-25.4604	0
-25.3795	0
-25.2985	0
-25.2176	0
-25.1366	0
-25.0557	0
-24.9747	0
-24.8937	0
-24.8128	0
-24.7318	0
-24.6509	0
-24.5699	0
-24.489	0
-24.408	0
-24.3271	0
-24.2461	0
-24.1651	0
-24.0842	0
-24.0032	0
-23.9223	0
-23.8413	0
-23.7604	0
